AccidentType,inckey,Fatalities,Injuries,TrackDamage,EquipmentDamage,HazmatCars,HazmatCarsDerailed,HazmatCarsReleasing,County,DisplayTime,calendar,Fiscal,AccidentCause,RailroadCodes,RAILEQUIPMENT_TYPE,CauseGroup,CauseDiscipline,TYPE_OF_TRACK,StateName,latitude,longitude,hour,cat
Derailments,1982:04:SP:U3702,0,0,4100,5350,1,0,0,ELLIS,14:10,1982,1982,"T110,","SP,",7,"T1,","T,",YARD,Texas,31.827233,-99.423022,14,Afternoon
Derailments,1982:03:SSW:K2022,0,0,4000,0,0,0,0,SMITH,13:40,1982,1982,"T110,","SSW,",7,"T1,","T,",MAIN,Texas,31.827233,-99.423022,13,Afternoon
Head on collision,1982:04:SP:W7572,0,3,0,60795,0,0,0,HARRIS,13:15,1982,1982,"H305,H999,","PTRA,SP,",77,"H3,H9,","H,",YARD,Texas,31.827233,-99.423022,13,Afternoon
Derailments,1982:04:NCTR:ND4482,0,0,8250,10500,1,1,0,DALLAS,15:30,1982,1982,"T101,H503,","BN,NCTR,",1,"T1,H5,","T,H,",MAIN,Texas,31.827233,-99.423022,15,Afternoon
Derailments,1982:03:SP:S1822,0,0,6111,700,0,0,0,EL PASO,14:30,1982,1982,"E68C,","SP,",7,"E6,","E,",YARD,Texas,31.827233,-99.423022,14,Afternoon
Derailments,1982:02:SP:W3812,0,0,1500,5900,4,4,0,HARRIS,13:00,1982,1982,"T202,","SP,",7,"T2,","T,",YARD,Texas,31.827233,-99.423022,13,Afternoon
Derailments,1982:04:MKT:AX22S,0,0,750,11750,0,0,0,HARRIS,12:15,1982,1982,"T311,","MKT,",57,"T3,","T,",INDUSTRY,Texas,31.827233,-99.423022,12,Afternoon
Derailments,1982:04:SSW:K3412,0,0,850,2975,0,0,0,SMITH,12:21,1982,1982,"E23C,E39C,","SSW,",1,"E2,E3,","E,",YARD,Texas,31.827233,-99.423022,12,Afternoon
Derailments,1983:06:KCS:335705,0,0,606,23300,0,0,0,JEFFERSON,16:15,1983,1983,"H503,","KCS,",57,"H5,","H,",YARD,Texas,31.827233,-99.423022,16,Afternoon
Derailments,1982:07:SSW:K6212,0,0,4000,6600,0,0,0,MCLENNAN,16:00,1982,1982,"T101,","SSW,",1,"T1,","T,",MAIN,Texas,31.827233,-99.423022,16,Afternoon
Side collision,1982:08:ATSF:210882102,0,0,0,7500,0,0,0,EL PASO,13:40,1982,1982,"H207,H401,","ATSF,",7,"H2,H4,","H,",YARD,Texas,31.827233,-99.423022,13,Afternoon
Derailments,1982:05:SP:F7652,0,0,0,5000,0,0,0,JEFFERSON,12:40,1982,1982,"H306,","SP,",4,"H3,","H,",YARD,Texas,31.827233,-99.423022,12,Afternoon
Derailments,1982:06:ATSF:220682101,0,0,7000,19300,0,0,0,BROWN,16:45,1982,1982,"T199,","ATSF,",1,"T1,","T,",YARD,Texas,31.827233,-99.423022,16,Afternoon
Derailments,1982:07:MP:82136,0,0,3000,10000,1,1,1,BRAZORIA,16:30,1982,1982,"T102,","MP,",7,"T1,","T,",YARD,Texas,31.827233,-99.423022,16,Afternoon
Derailments,1982:05:SP:X0062,0,0,16000,16600,0,0,0,HARRIS,14:25,1982,1982,"H603,","MP,SP,",1,"H6,","H,",MAIN,Texas,31.827233,-99.423022,14,Afternoon
Other impacts,1982:07:BN:FW230,0,0,0,16574,0,0,0,TARRANT,13:35,1982,1982,"H211,","BN,",7,"H2,","H,",YARD,Texas,31.827233,-99.423022,13,Afternoon
Derailments,1982:08:ATSF:230882102,0,0,50500,99800,0,0,0,BURLESON,16:22,1982,1982,"E39C,","ATSF,",1,"E3,","E,",MAIN,Texas,31.827233,-99.423022,16,Afternoon
